datasetID,BIO_CLASS,fieldNotes,habitat,AREA_SQKM,vernacular,FAMILY,GENUS,scientific,habitatID,nameAccord,eventDate,verif,Shape_Leng,Shape_Area,lat,lng
70.00000000000,Not reported,Not reported,Seagrass,0.02688314526,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,843.92122610100,27001.64638910000,24.5803701951,124.3085203200
70.00000000000,Not reported,Not reported,Seagrass,0.05546247474,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,1420.58898518000,55707.14089370000,24.5641771064,124.2981495268
70.00000000000,Not reported,Not reported,Seagrass,0.01308129564,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,451.06432870900,13139.04242800000,24.5451955030,124.3116693149
70.00000000000,Not reported,Not reported,Seagrass,1.10584765865,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,10009.19666770000,1110768.46209000004,24.3479266219,124.1287696320
70.00000000000,Not reported,Not reported,Seagrass,0.55434807336,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,6257.79455443000,556798.17154799995,24.5149769317,124.2797477144
70.00000000000,Not reported,Not reported,Seagrass,0.47126064697,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,8966.47441789000,473347.70311100001,24.4667874531,124.2611931837
70.00000000000,Not reported,Not reported,Seagrass,0.24883825705,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3651.17174884000,249946.45550600000,24.3250250365,124.0795882156
70.00000000000,Not reported,Not reported,Seagrass,0.37434355561,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,4968.94205287000,376001.64315999998,24.4641208739,124.1230086118
70.00000000000,Not reported,Not reported,Seagrass,0.25239870151,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,6164.24436529000,253515.94413500000,24.4794501212,124.2276951246
70.00000000000,Not reported,Not reported,Seagrass,2.90011537703,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,29855.33409250000,2912992.90683999984,24.4012832516,124.1264875129
70.00000000000,Not reported,Not reported,Seagrass,0.06576445586,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,2080.81420511000,66055.61389759999,24.4752737411,124.1230996444
70.00000000000,Not reported,Not reported,Seagrass,0.30187718456,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,7758.46428706000,303221.56978299998,24.3267175435,124.0970456840
70.00000000000,Not reported,Not reported,Seagrass,0.21206804351,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3453.85969163000,213008.16698000001,24.4422728245,124.1087334419
70.00000000000,Not reported,Not reported,Seagrass,0.06676693236,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,2211.30333291000,67062.95005489999,24.4396013807,124.0796944133
70.00000000000,Not reported,Not reported,Seagrass,0.33586905436,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,6266.52623287000,337357.26498699997,24.4521643759,124.2220554116
70.00000000000,Not reported,Not reported,Seagrass,0.03880041958,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,1356.83226107000,38972.34847520000,24.4490839635,124.1489769557
70.00000000000,Not reported,Not reported,Seagrass,0.25327728119,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,4442.37004409000,254399.85690700001,24.4469121057,124.1635768225
70.00000000000,Not reported,Not reported,Seagrass,0.04583349712,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,908.77068504500,46036.63896890000,24.4472215111,124.1432750861
70.00000000000,Not reported,Not reported,Seagrass,0.09517401455,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3630.02472286000,95596.40817739999,24.4147792184,124.0817632276
70.00000000000,Not reported,Not reported,Seagrass,0.10464817270,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,2367.95738314000,105110.80196200000,24.5116640173,124.2650839472
70.00000000000,Not reported,Not reported,Seagrass,0.44009872651,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,6405.91131378000,442042.19783399999,24.5402560758,124.2925280034
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032
70.00000000000,Not reported,Not reported,Seagrass,2.24956791824,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,28429.26243370000,2259567.98640999990,24.3719614343,124.2511100359
70.00000000000,Not reported,Not reported,Seagrass,0.35751463146,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,4637.21058677000,359105.62300700002,24.3451718769,124.2055030464
70.00000000000,Not reported,Not reported,Seagrass,0.20605888493,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3335.56165669000,206970.43354000000,24.4942849214,124.2391115118
