datasetID,BIO_CLASS,fieldNotes,habitat,AREA_SQKM,vernacular,FAMILY,GENUS,scientific,habitatID,nameAccord,eventDate,verif,Shape_Leng,Shape_Area,lat,lnt,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,lat2,lnt2
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"0","0","0","0",0.00000000000000,333.26707475985927,24.4992081809,124.2462396891
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"1","0","0","1",0.00033673466487,29.83728379306503,24.4994869694,124.2464285467
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"2","0","0","2",0.00079530201018,13.80265496077514,24.4999006587,124.2466263982
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"3","0","0","3",0.00155121435702,8.26505118692614,24.5006560895,124.2466533770
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"4","0","0","4",0.00266582871778,20.01111253972134,24.5017352749,124.2469321670
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"5","0","0","5",0.00356285468614,29.99471682150856,24.5025446647,124.2473188760
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"6","0","0","6",0.00450078342133,38.77133742770887,24.5033180814,124.2478494765
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"7","0","0","7",0.00526430712394,47.41340484407260,24.5038756622,124.2483710818
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"8","0","0","8",0.00607753456334,49.99399658384926,24.5043792813,124.2490096010
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"9","0","0","9",0.00719855418525,53.24621084203922,24.5051257201,124.2498459706
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"10","0","0","10",0.00808701903494,54.69984188646256,24.5055933675,124.2506014013
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"11","0","0","11",0.00897607490567,45.20230405703374,24.5061509471,124.2512938790
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"12","0","0","12",0.00980056124567,43.48591656794215,24.5067894647,124.2518154853
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"13","0","0","13",0.01033533698017,38.34700300430031,24.5071491933,124.2522111877
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"14","0","0","14",0.01091097358827,34.00155381116090,24.5076528140,124.2524899773
70.00000000000,Not reported,Not reported,Seagrass,0.13027654265,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1978/1992,Not reported,3557.58597694000,130852.68603800000,24.5061649575,124.2515584032,"15","0","0","15",0.01133935724074,44.91416719544153,24.5079855636,124.2527597740
